source_url,target_url,type,status,notes
https://fale.ufal.br/grupo/fonufal/?p=15602,/noticias/defesas-de-dissertacao-mariana-sousa-crislaini-dias/,post,migrated,full content and local images preserved
https://fale.ufal.br/grupo/fonufal/?p=15596,/noticias/portal-nurc-digital/,post,migrated,full content and local images preserved
https://fale.ufal.br/grupo/fonufal/?p=15591,/noticias/defesa-de-dissertacao-daniela-santos/,post,migrated,full content and local images preserved
https://fale.ufal.br/grupo/fonufal/?p=15580,/noticias/defesa-de-hugo-fulni-o/,post,migrated,full content and local images preserved
https://fale.ufal.br/grupo/fonufal/?p=15573,/noticias/defesa-de-dissertacao-hugo-ferreira-de-sa/,post,migrated,full content and local images preserved
https://fale.ufal.br/grupo/fonufal/?p=15567,/noticias/novos-pesquisadores-ayane-rene-almeida/,post,migrated,full content and local images preserved
https://fale.ufal.br/grupo/fonufal/?p=15549,/noticias/nova-pesquisadora-edineide-silva/,post,migrated,full content and local images preserved
https://fale.ufal.br/grupo/fonufal/?p=15542,/noticias/iii-coloquio-lingua-e-educacao-indigena-na-aldeia-fulni-o/,post,migrated,full content and local images preserved
https://fale.ufal.br/grupo/fonufal/?p=15535,/noticias/defesa-de-tese-rene-almeida/,post,migrated,full content and local images preserved
https://fale.ufal.br/grupo/fonufal/?p=15530,/noticias/evento-com-o-prof-david-quinto-pozos/,post,migrated,full content and local images preserved
https://fale.ufal.br/grupo/fonufal/?p=15525,/noticias/defesa-de-ayane-santos/,post,migrated,full content and local images preserved
https://fale.ufal.br/grupo/fonufal/?p=15521,/noticias/evento-com-diane-lillo-martin-e-ronice-quadros/,post,migrated,full content and local images preserved
https://fale.ufal.br/grupo/fonufal/?p=15518,/noticias/defesa-de-humberto-meira/,post,migrated,full content and local images preserved
https://fale.ufal.br/grupo/fonufal/?p=15513,/noticias/ayane-santos-primeiro-lugar-em-concurso-p-magisterio-superior/,post,migrated,full content and local images preserved
https://fale.ufal.br/grupo/fonufal/?p=15509,/noticias/palestra-de-diane-lillo-martin/,post,migrated,full content and local images preserved
https://fale.ufal.br/grupo/fonufal/?p=15505,/noticias/defesa-de-dissertacao-humberto-meira/,post,migrated,full content and local images preserved
https://fale.ufal.br/grupo/fonufal/?p=15501,/noticias/abralin-2017-2019/,post,migrated,full content and local images preserved
https://fale.ufal.br/grupo/fonufal/?p=15497,/noticias/erle-i-encontro-regional-de-letras-espanhol-da-ufal/,post,migrated,full content and local images preserved
https://fale.ufal.br/grupo/fonufal/?p=15491,/noticias/defesa-de-tese-ayane-santos/,post,migrated,full content and local images preserved
https://fale.ufal.br/grupo/fonufal/?p=15482,/noticias/defesa-de-julio-cesar/,post,migrated,full content and local images preserved
https://fale.ufal.br/grupo/fonufal/?p=15475,/noticias/transcricao-e-edicao-de-videos-em-libras/,post,migrated,full content and local images preserved
https://fale.ufal.br/grupo/fonufal/?p=15460,/noticias/iv-congresso-da-associacao-de-linguagem-e-direito/,post,migrated,full content and local images preserved
https://fale.ufal.br/grupo/fonufal/?p=15432,/noticias/compreensao-da-linguagem-e-eye-tracking/,post,migrated,full content and local images preserved
https://fale.ufal.br/grupo/fonufal/?p=15427,/noticias/abralin-em-cena-libras/,post,migrated,full content and local images preserved
https://fale.ufal.br/grupo/fonufal/?p=15417,/noticias/dia-do-indio/,post,migrated,full content and local images preserved
https://fale.ufal.br/grupo/fonufal/?p=15399,/noticias/a-implausibilidade-de-uma-gramatica-universal/,post,migrated,full content and local images preserved
https://fale.ufal.br/grupo/fonufal/?p=15392,/noticias/fabia-fulni-o-a-segunda-india-a-receber-titulo-de-doutora-pela-ufal/,post,migrated,full content and local images preserved
https://fale.ufal.br/grupo/fonufal/?p=15390,/noticias/reuniao-01-03-16/,post,migrated,full content and local images preserved
https://fale.ufal.br/grupo/fonufal/?p=15381,/noticias/defesa-de-tese-fabia-fulni-o/,post,migrated,full content and local images preserved
https://fale.ufal.br/grupo/fonufal/?p=15365,/noticias/palestra-com-dan-everett-a-implausibilidade-de-uma-gramatica-universal/,post,migrated,full content and local images preserved
https://fale.ufal.br/grupo/fonufal/?p=15339,/noticias/apresentacoes-24-11-15/,post,migrated,full content and local images preserved
https://fale.ufal.br/grupo/fonufal/?p=15278,/noticias/rediscutindo-sexo-genero-na-sociolinguistica/,post,migrated,full content and local images preserved
